epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
92,6508.4,1.05559,1.82971,0.92545,1.47128,0.75417,0.72188,0.77323,0.46302,0.77094,0.69688,0.76771,0.4442,1.38718,2.43855,0.98862,1.9187,0.0090991,0.0090991,0.0090991
93,6578.58,1.08297,1.86739,0.98363,1.50257,0.73888,0.73594,0.77818,0.47191,0.75332,0.71576,0.76978,0.44848,1.38371,2.42449,0.99522,1.92633,0.0090892,0.0090892,0.0090892
94,6648.96,1.06159,1.86029,0.95798,1.47926,0.7455,0.70312,0.77362,0.47858,0.74962,0.71107,0.77487,0.45754,1.37767,2.5072,0.97603,1.93751,0.0090793,0.0090793,0.0090793
95,6719.17,1.05245,1.86422,0.93417,1.46761,0.77612,0.74062,0.77972,0.48312,0.76519,0.7485,0.77668,0.45815,1.36917,2.47514,0.95866,1.89414,0.0090694,0.0090694,0.0090694
96,6789.29,1.05286,1.84236,0.91431,1.48081,0.74205,0.72656,0.78674,0.4827,0.78055,0.70312,0.78081,0.45872,1.38931,2.46412,0.9703,1.94271,0.0090595,0.0090595,0.0090595
97,6859.64,1.04957,1.82469,0.91941,1.45346,0.75907,0.70156,0.75788,0.47206,0.76754,0.70469,0.75955,0.44296,1.38878,2.49318,1.01006,1.91532,0.0090496,0.0090496,0.0090496
98,6929.78,1.0497,1.8543,0.92989,1.46333,0.73826,0.73599,0.77734,0.4828,0.74183,0.7375,0.77204,0.46201,1.38336,2.54313,0.98362,1.93385,0.0090397,0.0090397,0.0090397
99,6999.99,1.04053,1.83562,0.90232,1.46022,0.7324,0.72969,0.77961,0.48939,0.79211,0.68125,0.77136,0.46223,1.36293,2.43637,0.9662,1.91207,0.0090298,0.0090298,0.0090298
100,7070.36,1.04109,1.82894,0.93139,1.45722,0.74566,0.71003,0.76508,0.47298,0.74695,0.7149,0.76385,0.45218,1.36891,2.4282,1.00835,1.89526,0.0090199,0.0090199,0.0090199
101,7140.56,1.03412,1.81909,0.9326,1.45459,0.77137,0.7064,0.7866,0.4904,0.77707,0.71562,0.7898,0.46992,1.3703,2.40547,0.97553,1.88518,0.00901,0.00901,0.00901
102,7210.84,1.02781,1.81414,0.90269,1.4547,0.76223,0.70312,0.76177,0.47692,0.75554,0.70937,0.75829,0.45388,1.34536,2.427,0.98353,1.88798,0.0090001,0.0090001,0.0090001
103,7281.07,1.02473,1.80047,0.9205,1.44374,0.78479,0.7,0.77303,0.47674,0.77157,0.71094,0.77053,0.4576,1.37807,2.48991,0.98989,1.94219,0.0089902,0.0089902,0.0089902
104,7351.38,1.01284,1.77792,0.85056,1.43086,0.79007,0.67969,0.76975,0.4793,0.74441,0.71904,0.77048,0.45705,1.40015,2.44211,1.00826,1.95557,0.0089803,0.0089803,0.0089803
105,7421.69,1.01005,1.80323,0.88371,1.43544,0.79578,0.65156,0.7592,0.46948,0.79848,0.65312,0.75425,0.44334,1.39192,2.48848,1.01712,1.913,0.0089704,0.0089704,0.0089704
106,7491.86,1.03012,1.83711,0.91037,1.45056,0.7417,0.72188,0.7645,0.46965,0.74287,0.72188,0.75627,0.44396,1.39652,2.54892,1.00399,1.93768,0.0089605,0.0089605,0.0089605
107,7562.21,1.01594,1.78472,0.86578,1.44544,0.70695,0.75156,0.77331,0.48755,0.72347,0.73175,0.7672,0.47026,1.37282,2.38702,0.96728,1.91091,0.0089506,0.0089506,0.0089506
108,7632.51,1.00918,1.79007,0.86689,1.43047,0.76008,0.72765,0.78373,0.48621,0.75808,0.71719,0.76569,0.46309,1.36253,2.43908,0.97271,1.92475,0.0089407,0.0089407,0.0089407
109,7702.63,1.01779,1.77234,0.86449,1.44585,0.76581,0.7125,0.7761,0.47907,0.77386,0.72031,0.7831,0.45937,1.40917,2.47994,0.97255,1.98056,0.0089308,0.0089308,0.0089308
110,7772.87,1.00111,1.77964,0.86775,1.42924,0.70581,0.74974,0.76381,0.47785,0.7117,0.7375,0.75996,0.45589,1.37394,2.43447,0.99399,1.95254,0.0089209,0.0089209,0.0089209
111,7843.1,1.01514,1.80024,0.88344,1.43646,0.75956,0.7256,0.77351,0.4755,0.75972,0.72624,0.76766,0.45672,1.38839,2.43335,0.99405,1.92202,0.008911,0.008911,0.008911
112,7913.39,1.00385,1.75892,0.86882,1.41574,0.77872,0.70933,0.78066,0.47838,0.78053,0.70937,0.77602,0.46279,1.40832,2.5182,0.956,1.94283,0.0089011,0.0089011,0.0089011
113,7983.64,0.99823,1.78631,0.85438,1.42433,0.74003,0.7125,0.76734,0.47307,0.74641,0.71406,0.76491,0.44891,1.40975,2.41934,1.01308,1.95908,0.0088912,0.0088912,0.0088912
114,8053.99,1.00169,1.77755,0.86308,1.42918,0.74375,0.71875,0.76241,0.4747,0.72897,0.75313,0.76641,0.45267,1.39163,2.55994,0.97987,1.97627,0.0088813,0.0088813,0.0088813
115,8124.23,0.99693,1.75127,0.8586,1.40758,0.72825,0.72344,0.75083,0.46677,0.74742,0.71206,0.74369,0.4457,1.38968,2.55567,0.97849,1.93345,0.0088714,0.0088714,0.0088714
116,8194.47,1.00763,1.78181,0.86213,1.42779,0.74273,0.70312,0.76339,0.47424,0.74273,0.70312,0.75631,0.44525,1.38424,2.47043,1.0159,1.94351,0.0088615,0.0088615,0.0088615
117,8264.86,0.99631,1.77955,0.86885,1.41997,0.77736,0.66875,0.76263,0.47661,0.73673,0.70312,0.75122,0.45111,1.3701,2.47517,0.99255,1.9492,0.0088516,0.0088516,0.0088516
118,8334.98,0.96877,1.72107,0.82615,1.39658,0.72252,0.72188,0.7622,0.46106,0.71191,0.72975,0.75659,0.44287,1.42754,2.5464,1.00028,1.99217,0.0088417,0.0088417,0.0088417
119,8405.18,0.97836,1.75429,0.8254,1.4006,0.75881,0.69312,0.7723,0.46475,0.75172,0.7,0.76121,0.44414,1.44239,2.59064,1.02028,2.08499,0.0088318,0.0088318,0.0088318
